	foldChange	log2FoldChange	foldChange	log2FoldChange		
Potri.007G044300	2.434062694	1.283366328	0.535117349	-0.902072793	zeaxanthin epoxidase (ZEP) (ABA1)	AT5G67030
Potri.007G080300	0.487204001	-1.037402114	0.634505173	-0.656296169	cytochrome P450, family 96, subfamily A, polypeptide 10	AT4G39490
Potri.007G106800	1.832852512	0.874090698	0.675934025	-0.565045656	mitogen-activated protein kinase kinase kinase 3	AT1G53570
Potri.007G107300	0.532918371	-0.908013529	0.586666127	-0.7693884	Plant invertase/pectin methylesterase inhibitor superfamily	AT5G09760
Potri.007G122600	2.040523573	1.028939378	0.591016743	-0.758729093	Translation initiation factor SUI1 family protein	AT4G27130
Potri.007G138100	3.179989751	1.669022116	0.387231355	-1.368732318	erf domain protein 9	AT5G44210
Potri.008G022000	8.232489383	3.041328746	0.520725838	-0.941404101	NFU domain protein 4	AT3G20970
Potri.008G023700	2.015049206	1.010815069	0.463830656	-1.10832992	Ankyrin repeat family protein	AT3G18670
Potri.008G045300	2.229526722	1.156737491	0.597009409	-0.744174427	related to AP2.7	AT2G28550
Potri.008G086500	0.565661378	-0.821989423	0.456404047	-1.131616512	Transmembrane amino acid transporter family protein	AT3G28960
Potri.008G127900	1.760038087	0.815606649	0.647315198	-0.627459718	RNA polymerase II transcription elongation factor	AT1G71080
Potri.008G133400	2.057806276	1.041107172	0.701023801	-0.512464668	jasmonate-zim-domain protein 3	AT3G17860
Potri.009G091200	2.045570061	1.032502951	0.702677674	-0.509065035	RING/U-box superfamily protein	AT1G49850
Potri.009G097100	3.490481126	1.803425911	0.584347185	-0.775102306	Leucine-rich repeat (LRR) family protein	AT2G15320
Potri.010G161200	4.03344414	2.012012276	0.599087938	-0.739160307	nodulin-related protein 1	AT2G03440
Potri.010G183600	1.877981825	0.909183101	0.519475958	-0.944871114	laccase 5	AT2G40370
Potri.010G209900	2.223382676	1.152756278	0.520886006	-0.940960417	"tonoplast intrinsic protein 1;3"	AT4G01470
Potri.010G241700	13.66520247	3.772434931	0.320404764	-1.642032496	Nuclear transport factor 2 (NTF2) family protein	AT5G04830
Potri.011G003300	5.146047002	2.363464634	0.421030741	-1.248002521	Protein of unknown function, DUF584	AT1G11700
Potri.011G139700	3.737270585	1.901985021	0.632726727	-0.660345556	Leucine-rich receptor-like protein kinase family protein	AT1G17230
Potri.011G158300	2.230297215	1.15723598	0.611299654	-0.710048345	FAD-binding Berberine family protein	AT1G30700
Potri.012G084100	4.022800692	2.008200262	0.484770898	-1.044625003	myb domain protein 86	AT5G26660
Potri.012G111000	6.583348187	2.718821502	0.272790069	-1.874136971	unknown	AT5G07330
Potri.013G065800	3.128692866	1.645560041	0.329479349	-1.601740053	calcium exchanger 7	AT5G17860
Potri.013G156200	1.799610402	0.847684611	0.669218264	-0.579451276	LOB domain-containing protein 15	AT2G40470
Potri.014G028900	2.251806418	1.171082808	0.686126245	-0.543454043	Protein kinase family protein	AT5G09890
Potri.014G032800	2.850526308	1.511228316	0.283721641	-1.817451896	alpha/beta-Hydrolases superfamily protein	AT1G47480
Potri.014G084600	2.27991274	1.188978608	0.639188996	-0.645685522	Protein of unknown function (DUF3741)	AT4G00440
Potri.014G095100	4.691768875	2.230131945	0.207926974	-2.265851169	unknown	AT5G41761
Potri.014G096000	1.786204921	0.836897602	0.695216692	-0.524465374	UDP-Glycosyltransferase superfamily protein	AT4G01070
Potri.014G158000	1.638607547	0.712470364	0.656349324	-0.60746424	unknown	AT2G32980
Potri.015G143600	0.247802133	-2.01273949	0.647275482	-0.627548237	Remorin family protein	AT5G23750
Potri.016G015500	2.308076767	1.206691209	0.517001527	-0.951759553	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	AT3G22142
Potri.016G087000	0.573203582	-0.802880469	0.162536799	-2.621161711	unknown	AT5G03120
Potri.016G096300	2.687076243	1.426037257	0.388149142	-1.365316995	sequence-specific DNA binding transcription factors	AT3G10040
Potri.016G110000	2.006576899	1.004736446	0.622187021	-0.684579795	Neutral/alkaline non-lysosomal ceramidase	AT2G38010
Potri.016G124300	2.115836352	1.081228047	0.44565503	-1.166000705	NULL	NULL
Potri.016G124700	3.585231816	1.842066405	0.526235446	-0.926219667	ferretin 1	AT5G01600
Potri.017G054000	2.193771447	1.13341323	0.587800342	-0.766601896	inhibitor/interactor with cyclin-dependent kinase	AT5G48820
Potri.017G122400	4.262444487	2.091681045	0.582390481	-0.779941319	Auxin efflux carrier family protein	AT1G71090
Potri.017G122900	2.958613073	1.564921034	0.141353636	-2.822619102	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	AT3G44840
Potri.018G125000	2.485574396	1.313579286	0.556499712	-0.845547153	Exostosin family protein	AT5G20260
Potri.019G042600	2.015292609	1.010989325	0.700826181	-0.512871424	rubredoxin family protein	AT5G17170
Potri.019G100600	5.532877957	2.468030102	0.523254304	-0.934415821	unknown	AT4G28290
Potri.019G102200	4.672689716	2.22425324	0.616337725	-0.698206997	Integrase-type DNA-binding superfamily protein	AT4G28140
Potri.019G126400	1.899868525	0.925899584	0.561775924	-0.8319333	HXXXD-type acyl-transferase family protein	AT2G25150
Potri.T091700	2.280179424	1.189147353	0.451757775	-1.146378664	Tautomerase/MIF superfamily protein	AT5G01650
Potri.T139600	4.057425921	2.020564755	0.666697497	-0.584895785	NULL	NULL
